"dep";"sexe";"jour";"hosp";"rea";"dc";"rad"
"01";0;"2020-03-18";2;0;0;1
"01";1;"2020-03-18";1;0;0;1
"01";2;"2020-03-18";1;0;0;0
"02";0;"2020-03-18";41;10;11;18
"02";1;"2020-03-18";19;4;6;11
"02";2;"2020-03-18";22;6;5;7
"03";0;"2020-03-18";4;0;0;1
"03";1;"2020-03-18";1;0;0;0
"03";2;"2020-03-18";3;0;0;1
"04";0;"2020-03-18";3;1;0;2
"04";1;"2020-03-18";3;1;0;0
"04";2;"2020-03-18";0;0;0;2
"05";0;"2020-03-18";8;1;0;9
"05";1;"2020-03-18";1;0;0;7
"05";2;"2020-03-18";7;1;0;2
"06";0;"2020-03-18";25;1;2;47
"06";1;"2020-03-18";15;1;0;19
"06";2;"2020-03-18";10;0;2;28
"07";0;"2020-03-18";12;1;0;0
"07";1;"2020-03-18";7;1;0;0
"07";2;"2020-03-18";3;0;0;0
"08";0;"2020-03-18";0;0;0;1
"08";1;"2020-03-18";0;0;0;1
"08";2;"2020-03-18";0;0;0;0
"09";0;"2020-03-18";1;1;0;2
"09";1;"2020-03-18";0;0;0;1
"09";2;"2020-03-18";1;1;0;1
"10";0;"2020-03-18";5;0;0;0
"10";1;"2020-03-18";4;0;0;0
"10";2;"2020-03-18";1;0;0;0
"11";0;"2020-03-18";8;7;3;9
"11";1;"2020-03-18";6;5;2;2
"11";2;"2020-03-18";2;2;1;7
"12";0;"2020-03-18";7;2;0;1
"12";1;"2020-03-18";3;1;0;0
"12";2;"2020-03-18";4;1;0;1
"13";0;"2020-03-18";98;11;4;59
"13";1;"2020-03-18";50;6;2;35
"13";2;"2020-03-18";48;5;2;23
"14";0;"2020-03-18";4;1;0;0
"14";1;"2020-03-18";3;0;0;0
"14";2;"2020-03-18";1;1;0;0
"15";0;"2020-03-18";2;1;0;0
"15";1;"2020-03-18";2;1;0;0
"15";2;"2020-03-18";0;0;0;0
"16";0;"2020-03-18";1;0;0;0
"16";1;"2020-03-18";0;0;0;0
"16";2;"2020-03-18";1;0;0;0
"17";0;"2020-03-18";5;2;0;2
"17";1;"2020-03-18";5;2;0;2
"17";2;"2020-03-18";0;0;0;0
"18";0;"2020-03-18";0;0;0;0
"18";1;"2020-03-18";0;0;0;0
"18";2;"2020-03-18";0;0;0;0
"19";0;"2020-03-18";0;0;0;0
"19";1;"2020-03-18";0;0;0;0
"19";2;"2020-03-18";0;0;0;0
"21";0;"2020-03-18";60;16;0;4
"21";1;"2020-03-18";30;10;0;0
"21";2;"2020-03-18";30;6;0;4
"22";0;"2020-03-18";1;1;0;3
"22";1;"2020-03-18";1;1;0;1
"22";2;"2020-03-18";0;0;0;2
"23";0;"2020-03-18";0;0;0;0
"23";1;"2020-03-18";0;0;0;0
"23";2;"2020-03-18";0;0;0;0
"24";0;"2020-03-18";2;1;0;1
"24";1;"2020-03-18";1;1;0;1
"24";2;"2020-03-18";1;0;0;0
"25";0;"2020-03-18";26;3;1;8
"25";1;"2020-03-18";15;2;1;2
"25";2;"2020-03-18";11;1;0;6
"26";0;"2020-03-18";17;2;0;0
"26";1;"2020-03-18";10;1;0;0
"26";2;"2020-03-18";7;1;0;0
"27";0;"2020-03-18";0;0;0;0
"27";1;"2020-03-18";0;0;0;0
"27";2;"2020-03-18";0;0;0;0
"28";0;"2020-03-18";5;3;1;0
"28";1;"2020-03-18";1;1;1;0
"28";2;"2020-03-18";4;2;0;0
"29";0;"2020-03-18";13;5;0;3
"29";1;"2020-03-18";8;4;0;2
"29";2;"2020-03-18";5;1;0;1
"2A";0;"2020-03-18";0;0;0;0
"2A";1;"2020-03-18";0;0;0;0
"2A";2;"2020-03-18";0;0;0;0
"2B";0;"2020-03-18";0;0;0;0
"2B";1;"2020-03-18";0;0;0;0
"2B";2;"2020-03-18";0;0;0;0
"30";0;"2020-03-18";5;3;0;6
"30";1;"2020-03-18";5;3;0;1
